tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on enxfc19286184c9, link-type EN10MB (Ethernet), snapshot length 262144 bytes
1790277798.748394 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24921, seq 1, length 27
1790277798.749680 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24921, seq 1, length 27
1790277798.799322 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24921, seq 2, length 27
1790277798.854842 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24921, seq 3, length 27
1790277798.910756 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24921, seq 4, length 27
1790277798.966840 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24921, seq 5, length 27
1790277798.968243 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24921, seq 5, length 27
1790277799.017670 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24921, seq 6, length 27
1790277799.070710 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24921, seq 7, length 27
1790277799.071665 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24921, seq 7, length 27
1790277799.120825 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24921, seq 8, length 27
1790277799.174662 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24921, seq 9, length 27
1790277799.230667 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24921, seq 10, length 27
1790277799.286764 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24921, seq 11, length 27
1790277799.342935 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24921, seq 12, length 27
1790277799.398790 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24921, seq 13, length 27
1790277799.400283 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24921, seq 13, length 27
1790277799.449488 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24921, seq 14, length 27
1790277799.502663 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24921, seq 15, length 27
1790277799.503644 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24921, seq 15, length 27
1790277799.552891 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24921, seq 16, length 27
