# boot-timeline.py --retro, tool sha256 05dd4a74c349be5e161b44900474dc6b4795186d112456ee39485a59e4214273, paths: bench/2026-09-23
# one record per line; columns unused by a record are empty; seconds
# records: loader seg lm kboot cell nothing fragment class? term1 term1cell reset scale scalefit
record	firmware	variant	class	image	directory	capture	quantity	from	to	seg_class	n	value	median	min	max	p90	argmax	ratio	slope	ci_lo	ci_hi	r	note
cell	rlxfw	quiet	warm	A2C56BC8			kernel.total	kentry	userinit	comparable	6		9.313759	9.212211	9.314436								
cell	rlxfw	quiet	?	A2C56BC8			kernel.total	kentry	userinit	comparable	0												
cell	rlxfw	quiet	cold	A2C56BC8			user.ready	userinit	ready	not-comparable	2		0.113378	0.112829	0.113928								
cell	rlxfw	quiet	warm	A2C56BC8			user.ready	userinit	ready	not-comparable	6		0.114286	0.112057	0.115006								
cell	rlxfw	quiet	?	A2C56BC8			user.ready	userinit	ready	not-comparable	0												
cell	rlxfw	quiet	cold	A2C56BC8			boot.jump_to_ready	jump	ready	not-comparable	2		10.532718	10.524899	10.540537								
cell	rlxfw	quiet	warm	A2C56BC8			boot.jump_to_ready	jump	ready	not-comparable	6		10.642682	10.526669	10.644789								
cell	rlxfw	quiet	?	A2C56BC8			boot.jump_to_ready	jump	ready	not-comparable	0												
cell	rlxfw	quiet	cold	A2C56BC8			rlxfw.setup	b00	b09	not-comparable	2		0.045743	0.045650	0.045835								
cell	rlxfw	quiet	warm	A2C56BC8			rlxfw.setup	b00	b09	not-comparable	6		0.046263	0.046074	0.046625								
cell	rlxfw	quiet	?	A2C56BC8			rlxfw.setup	b00	b09	not-comparable	0												
cell	rlxfw	quiet	cold	A2C56BC8			rlxfw.initpost	b10	userinit	not-comparable	2		0.011523	0.011458	0.011588								
cell	rlxfw	quiet	warm	A2C56BC8			rlxfw.initpost	b10	userinit	not-comparable	6		0.011720	0.011626	0.012498								
cell	rlxfw	quiet	?	A2C56BC8			rlxfw.initpost	b10	userinit	not-comparable	0												
cell	rlxfw	loud	cold	A2C56BC8			rtkload.decompress	decomp	decomp_done	comparable	1		1.231281	1.231281	1.231281								
cell	rlxfw	loud	warm	A2C56BC8			rtkload.decompress	decomp	decomp_done	comparable	2		1.229918	1.229789	1.230047								
cell	rlxfw	loud	?	A2C56BC8			rtkload.decompress	decomp	decomp_done	comparable	0												
cell	rlxfw	loud	cold	A2C56BC8			rtkload.total	jump	kentry	comparable	1		1.246918	1.246918	1.246918								
cell	rlxfw	loud	warm	A2C56BC8			rtkload.total	jump	kentry	comparable	2		1.242260	1.242191	1.242329								
cell	rlxfw	loud	?	A2C56BC8			rtkload.total	jump	kentry	comparable	0												
cell	rlxfw	loud	cold	A2C56BC8			kernel.early	kentry	wlan	comparable	1		1.505786	1.505786	1.505786								
cell	rlxfw	loud	warm	A2C56BC8			kernel.early	kentry	wlan	comparable	2		1.503931	1.503630	1.504232								
cell	rlxfw	loud	?	A2C56BC8			kernel.early	kentry	wlan	comparable	0												
cell	rlxfw	loud	cold	A2C56BC8			kernel.wlan	wlan	nic	comparable	1		5.140987	5.140987	5.140987								
cell	rlxfw	loud	warm	A2C56BC8			kernel.wlan	wlan	nic	comparable	2		5.135207	5.134660	5.135754								
cell	rlxfw	loud	?	A2C56BC8			kernel.wlan	wlan	nic	comparable	0												
cell	rlxfw	loud	cold	A2C56BC8			kernel.nic	nic	fastpath	comparable	1		1.224543	1.224543	1.224543								
cell	rlxfw	loud	warm	A2C56BC8			kernel.nic	nic	fastpath	comparable	2		1.223883	1.223827	1.223940								
cell	rlxfw	loud	?	A2C56BC8			kernel.nic	nic	fastpath	comparable	0												
cell	rlxfw	loud	cold	A2C56BC8			kernel.late	fastpath	userinit	comparable	1		3.140063	3.140063	3.140063								
cell	rlxfw	loud	warm	A2C56BC8			kernel.late	fastpath	userinit	comparable	2		3.138953	3.138946	3.138961								
cell	rlxfw	loud	?	A2C56BC8			kernel.late	fastpath	userinit	comparable	0												
cell	rlxfw	loud	cold	A2C56BC8			kernel.total	kentry	userinit	comparable	1		11.011379	11.011379	11.011379								
cell	rlxfw	loud	warm	A2C56BC8			kernel.total	kentry	userinit	comparable	2		11.001975	11.001176	11.002774								
cell	rlxfw	loud	?	A2C56BC8			kernel.total	kentry	userinit	comparable	0												
cell	rlxfw	loud	cold	A2C56BC8			user.ready	userinit	ready	not-comparable	1		0.116240	0.116240	0.116240								
cell	rlxfw	loud	warm	A2C56BC8			user.ready	userinit	ready	not-comparable	2		0.116382	0.116062	0.116702								
cell	rlxfw	loud	?	A2C56BC8			user.ready	userinit	ready	not-comparable	0												
cell	rlxfw	loud	cold	A2C56BC8			boot.jump_to_ready	jump	ready	not-comparable	1		12.374537	12.374537	12.374537								
cell	rlxfw	loud	warm	A2C56BC8			boot.jump_to_ready	jump	ready	not-comparable	2		12.360617	12.359429	12.361805								
cell	rlxfw	loud	?	A2C56BC8			boot.jump_to_ready	jump	ready	not-comparable	0												
cell	rlxfw	loud	cold	A2C56BC8			rlxfw.setup	b00	b09	not-comparable	1		0.275227	0.275227	0.275227								
cell	rlxfw	loud	warm	A2C56BC8			rlxfw.setup	b00	b09	not-comparable	2		0.274638	0.274089	0.275187								
cell	rlxfw	loud	?	A2C56BC8			rlxfw.setup	b00	b09	not-comparable	0												
cell	rlxfw	loud	cold	A2C56BC8			rlxfw.initpost	b10	userinit	not-comparable	1		0.012049	0.012049	0.012049								
