# boot-timeline.py --retro, tool sha256 a541392a0ffe7216f176f5f50995cc6eac0bcc4a384aa407a082037d5219ec7c, paths: bench/2026-09-25
# one record per line; columns unused by a record are empty; seconds
# records: loader seg lm kboot cell nothing fragment class? term1 term1cell reset scale scalefit
record	firmware	variant	class	image	directory	capture	quantity	from	to	seg_class	n	value	median	min	max	p90	argmax	ratio	slope	ci_lo	ci_hi	r	note
cell	rlxfw	loud	cold	A2C56BC8			kernel.early	kentry	wlan	comparable	1		1.523894	1.523894	1.523894								
cell	rlxfw	loud	warm	A2C56BC8			kernel.early	kentry	wlan	comparable	2		1.524926	1.524901	1.524951								
cell	rlxfw	loud	?	A2C56BC8			kernel.early	kentry	wlan	comparable	0												
cell	rlxfw	loud	cold	A2C56BC8			kernel.wlan	wlan	nic	comparable	1		5.207950	5.207950	5.207950								
cell	rlxfw	loud	warm	A2C56BC8			kernel.wlan	wlan	nic	comparable	2		5.207031	5.207017	5.207046								
cell	rlxfw	loud	?	A2C56BC8			kernel.wlan	wlan	nic	comparable	0												
cell	rlxfw	loud	cold	A2C56BC8			kernel.nic	nic	fastpath	comparable	1		1.240909	1.240909	1.240909								
cell	rlxfw	loud	warm	A2C56BC8			kernel.nic	nic	fastpath	comparable	2		1.240989	1.240976	1.241001								
cell	rlxfw	loud	?	A2C56BC8			kernel.nic	nic	fastpath	comparable	0												
cell	rlxfw	loud	cold	A2C56BC8			kernel.late	fastpath	userinit	comparable	1		3.182861	3.182861	3.182861								
cell	rlxfw	loud	warm	A2C56BC8			kernel.late	fastpath	userinit	comparable	2		3.183365	3.183160	3.183571								
cell	rlxfw	loud	?	A2C56BC8			kernel.late	fastpath	userinit	comparable	0												
cell	rlxfw	loud	cold	A2C56BC8			kernel.total	kentry	userinit	comparable	1		11.155614	11.155614	11.155614								
cell	rlxfw	loud	warm	A2C56BC8			kernel.total	kentry	userinit	comparable	2		11.156312	11.156054	11.156569								
cell	rlxfw	loud	?	A2C56BC8			kernel.total	kentry	userinit	comparable	0												
cell	rlxfw	loud	cold	A2C56BC8			user.ready	userinit	ready	not-comparable	1		0.118239	0.118239	0.118239								
cell	rlxfw	loud	warm	A2C56BC8			user.ready	userinit	ready	not-comparable	2		0.117668	0.117483	0.117854								
cell	rlxfw	loud	?	A2C56BC8			user.ready	userinit	ready	not-comparable	0												
cell	rlxfw	loud	cold	A2C56BC8			boot.jump_to_ready	jump	ready	not-comparable	1		12.534490	12.534490	12.534490								
cell	rlxfw	loud	warm	A2C56BC8			boot.jump_to_ready	jump	ready	not-comparable	2		12.536320	12.535714	12.536925								
cell	rlxfw	loud	?	A2C56BC8			boot.jump_to_ready	jump	ready	not-comparable	0												
cell	rlxfw	loud	cold	A2C56BC8			rlxfw.setup	b00	b09	not-comparable	1		0.293701	0.293701	0.293701								
cell	rlxfw	loud	warm	A2C56BC8			rlxfw.setup	b00	b09	not-comparable	2		0.278137	0.277730	0.278543								
cell	rlxfw	loud	?	A2C56BC8			rlxfw.setup	b00	b09	not-comparable	0												
cell	rlxfw	loud	cold	A2C56BC8			rlxfw.initpost	b10	userinit	not-comparable	1		0.011702	0.011702	0.011702								
cell	rlxfw	loud	warm	A2C56BC8			rlxfw.initpost	b10	userinit	not-comparable	2		0.012312	0.012175	0.012449								
cell	rlxfw	loud	?	A2C56BC8			rlxfw.initpost	b10	userinit	not-comparable	0												
kboot	vendor	-	cold	-	bench/2026-09-25	bench/2026-09-25/M1-BOOT.log																	its own C-8 line; `init started: BusyBox v1.13.4`
seg	vendor	-	cold	-	bench/2026-09-25	bench/2026-09-25/M1-BOOT.log	loader.booting	booting	chipname	identical	1	0.351504											
seg	vendor	-	cold	-	bench/2026-09-25	bench/2026-09-25/M1-BOOT.log	loader.banner	booting	banner	identical	1	0.581514											
seg	vendor	-	cold	-	bench/2026-09-25	bench/2026-09-25/M1-BOOT.log	loader.esc	banner	autoboot	identical	1	5.238773											
seg	vendor	-	cold	-	bench/2026-09-25	bench/2026-09-25/M1-BOOT.log	rtkload.decompress	decomp	decomp_done	comparable	1	1.060254											
seg	vendor	-	cold	-	bench/2026-09-25	bench/2026-09-25/M1-BOOT.log	rtkload.total	jump	kentry	comparable	1	1.078224											
seg	vendor	-	cold	-	bench/2026-09-25	bench/2026-09-25/M1-BOOT.log	kernel.early	kentry	wlan	comparable	1	0.666356											
seg	vendor	-	cold	-	bench/2026-09-25	bench/2026-09-25/M1-BOOT.log	kernel.wlan	wlan	nic	comparable	1	4.623566											
seg	vendor	-	cold	-	bench/2026-09-25	bench/2026-09-25/M1-BOOT.log	kernel.nic	nic	fastpath	comparable	1	0.833982											
seg	vendor	-	cold	-	bench/2026-09-25	bench/2026-09-25/M1-BOOT.log	kernel.late	fastpath	userinit	comparable	1	0.973402											
seg	vendor	-	cold	-	bench/2026-09-25	bench/2026-09-25/M1-BOOT.log	kernel.total	kentry	userinit	comparable	1	7.097306											
seg	vendor	-	cold	-	bench/2026-09-25	bench/2026-09-25/M1-BOOT.log	user.ready	userinit	ready	not-comparable	1	18.658779											
seg	vendor	-	cold	-	bench/2026-09-25	bench/2026-09-25/M1-BOOT.log	boot.jump_to_ready	jump	ready	not-comparable	1	26.834309											
lm	vendor	-	cold	-	bench/2026-09-25	bench/2026-09-25/M1-BOOT.log	booting					12.574082											byte 14
lm	vendor	-	cold	-	bench/2026-09-25	bench/2026-09-25/M1-BOOT.log	chipname					12.925586											byte 15
lm	vendor	-	cold	-	bench/2026-09-25	bench/2026-09-25/M1-BOOT.log	ramsize					12.931967											byte 34
lm	vendor	-	cold	-	bench/2026-09-25	bench/2026-09-25/M1-BOOT.log	banner					13.155596											byte 51
lm	vendor	-	cold	-	bench/2026-09-25	bench/2026-09-25/M1-BOOT.log	autoboot					18.394369											byte 118
lm	vendor	-	cold	-	bench/2026-09-25	bench/2026-09-25/M1-BOOT.log	jump					18.394369											byte 118
lm	vendor	-	cold	-	bench/2026-09-25	bench/2026-09-25/M1-BOOT.log	decomp					18.404685											byte 153
lm	vendor	-	cold	-	bench/2026-09-25	bench/2026-09-25/M1-BOOT.log	decomp_done					19.464939											byte 226
lm	vendor	-	cold	-	bench/2026-09-25	bench/2026-09-25/M1-BOOT.log	kentry					19.472593											byte 254
lm	vendor	-	cold	-	bench/2026-09-25	bench/2026-09-25/M1-BOOT.log	wlan					20.138949											byte 281
lm	vendor	-	cold	-	bench/2026-09-25	bench/2026-09-25/M1-BOOT.log	nic					24.762515											byte 531
